Projekt-Nummer: 20250999
Projektname: Musterstraﬂe
Versuchs-Nummer: CPTU 1
Kundenname: -
Ort: Musterhausen
Datum: 29.03.2025
Konus-Nummer: xxxxxx.Sxxxxx
Gel‰ndekante: 0,00
Wasserspiegel: 0,00
Vorbohrwerte: 0,00
E Coordinate: 0,000
N Coordinate: 0,000

Tiefe     qc        fs        u2        I         Rf        qt        ic        Su_min    Su_max    soilfr    soilbq    soilavg   IFA       
          [MPa]     [MPa]     [MPa]     [∞]       [%]       [MPa]               [kPa]     [kPa]                                   [∞]       

1,22      2,59      0,119     0,203     1,5       2,17      2,631     2,08      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,23      2,64      0,118     0,206     1,5       1,97      2,684     2,07      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,24      3,01      0,118     0,222     1,5       1,82      3,052     2,00      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,25      4,07      0,118     0,259     1,5       1,70      4,119     1,83      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,26      5,71      0,118     0,334     1,5       1,62      5,781     1,64      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,27      7,76      0,119     0,464     1,5       1,56      7,853     1,47      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
1,28      12,34     0,121     0,744     1,6       1,54      12,490    1,24      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
1,29      13,72     0,131     0,820     1,6       1,62      13,880    1,22      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
1,30      14,03     0,141     0,810     1,6       1,70      14,190    1,24      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
1,31      13,83     0,152     0,709     1,6       1,80      13,970    1,28      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
1,32      13,31     0,178     0,668     1,6       2,08      13,450    1,37      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
1,33      12,52     0,189     0,636     1,6       2,18      12,640    1,42      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
1,34      11,53     0,190     0,599     1,6       2,18      11,640    1,47      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
1,35      9,34      0,190     0,520     1,6       2,18      9,441     1,58      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
1,36      8,34      0,190     0,486     1,6       2,20      8,440     1,64      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,37      7,14      0,190     0,442     1,6       2,25      7,223     1,73      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,38      6,80      0,190     0,429     1,6       2,37      6,891     1,76      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,39      5,99      0,188     0,395     1,6       2,52      6,065     1,83      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,40      5,48      0,182     0,376     1,6       2,62      5,560     1,86      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,41      5,07      0,175     0,350     1,6       2,73      5,139     1,89      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,42      4,47      0,162     0,332     1,6       2,77      4,538     1,93      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,43      4,20      0,149     0,322     1,5       2,77      4,264     1,94      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,44      4,10      0,138     0,308     1,5       2,80      4,163     1,92      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,45      4,00      0,125     0,279     1,6       2,73      4,059     1,90      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,46      4,04      0,116     0,250     1,6       2,69      4,086     1,87      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,47      3,99      0,100     0,250     1,6       2,44      4,036     1,82      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,48      3,89      0,098     0,248     1,6       2,51      3,942     1,83      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,49      3,65      0,092     0,243     1,6       2,46      3,697     1,84      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,50      3,40      0,085     0,235     1,5       2,39      3,443     1,86      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,51      3,26      0,084     0,233     1,5       2,43      3,306     1,88      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,52      3,19      0,073     0,232     1,5       2,19      3,233     1,85      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
1,53      3,14      0,062     0,232     1,5       1,91      3,190     1,80      UNDEF     UNDEF     6,0       7,0       7,0       45,720    
1,54      3,09      0,054     0,232     1,5       1,71      3,135     1,76      UNDEF     UNDEF     6,0       7,0       7,0       45,590    
1,55      3,06      0,052     0,232     1,5       1,69      3,104     1,75      UNDEF     UNDEF     6,0       7,0       7,0       45,500    
1,56      3,08      0,049     0,234     1,5       1,62      3,124     1,73      UNDEF     UNDEF     6,0       7,0       7,0       45,490    
1,57      2,84      0,047     0,227     1,4       1,60      2,890     1,76      UNDEF     UNDEF     6,0       7,0       7,0       45,090    
1,58      2,80      0,045     0,225     1,4       1,59      2,843     1,76      UNDEF     UNDEF     6,0       7,0       7,0       44,970    
1,59      2,70      0,044     0,218     1,4       1,60      2,748     1,78      UNDEF     UNDEF     6,0       7,0       7,0       44,770    
1,60      2,56      0,043     0,213     1,5       1,59      2,604     1,81      UNDEF     UNDEF     6,0       7,0       7,0       44,470    
1,61      2,48      0,042     0,212     1,5       1,56      2,526     1,82      UNDEF     UNDEF     6,0       6,0       6,0       44,280    
1,62      2,45      0,042     0,211     1,4       1,58      2,491     1,83      UNDEF     UNDEF     6,0       6,0       6,0       44,170    
1,63      2,43      0,042     0,211     1,5       1,60      2,475     1,83      UNDEF     UNDEF     6,0       6,0       6,0       44,100    
1,64      2,43      0,042     0,211     1,4       1,62      2,469     1,84      UNDEF     UNDEF     6,0       6,0       6,0       44,050    
1,65      2,42      0,042     0,211     1,5       1,63      2,463     1,84      UNDEF     UNDEF     6,0       6,0       6,0       43,990    
1,66      2,42      0,042     0,211     1,5       1,62      2,463     1,84      UNDEF     UNDEF     6,0       6,0       6,0       43,950    
1,67      2,42      0,042     0,211     1,4       1,61      2,463     1,85      UNDEF     UNDEF     6,0       6,0       6,0       43,910    
1,68      2,42      0,043     0,211     1,4       1,63      2,463     1,86      UNDEF     UNDEF     6,0       6,0       6,0       43,870    
1,69      2,42      0,047     0,212     1,5       1,79      2,463     1,90      UNDEF     UNDEF     6,0       6,0       6,0       43,820    
1,70      2,42      0,051     0,212     1,4       1,90      2,464     1,92      UNDEF     UNDEF     6,0       6,0       6,0       43,780    
1,71      2,42      0,053     0,213     1,5       1,98      2,466     1,94      UNDEF     UNDEF     6,0       6,0       6,0       43,750    
1,72      2,43      0,057     0,214     1,4       2,09      2,476     1,96      UNDEF     UNDEF     6,0       6,0       6,0       43,730    
1,73      2,45      0,058     0,217     1,4       2,11      2,495     1,97      UNDEF     UNDEF     6,0       6,0       6,0       43,730    
1,74      2,75      0,059     0,239     1,4       2,12      2,795     1,91      UNDEF     UNDEF     6,0       6,0       6,0       44,230    
1,75      3,42      0,060     0,248     1,5       2,13      3,469     1,78      UNDEF     UNDEF     6,0       7,0       7,0       45,210    
1,76      3,57      0,060     0,249     1,4       2,09      3,624     1,76      UNDEF     UNDEF     6,0       7,0       7,0       45,380    
1,77      3,26      0,063     0,246     1,4       2,13      3,309     1,83      UNDEF     UNDEF     6,0       7,0       7,0       44,930    
1,78      3,10      0,064     0,246     1,4       2,12      3,146     1,87      UNDEF     UNDEF     6,0       7,0       7,0       44,660    
1,79      3,02      0,065     0,246     1,4       2,11      3,065     1,89      UNDEF     UNDEF     6,0       7,0       7,0       44,500    
1,80      3,01      0,067     0,246     1,4       2,11      3,060     1,90      UNDEF     UNDEF     6,0       7,0       7,0       44,460    
1,81      3,01      0,069     0,246     1,4       2,13      3,058     1,92      UNDEF     UNDEF     6,0       7,0       7,0       44,420    
1,82      3,02      0,070     0,246     1,4       2,12      3,074     1,92      UNDEF     UNDEF     6,0       7,0       7,0       44,410    
1,83      3,04      0,070     0,248     1,5       2,08      3,090     1,92      UNDEF     UNDEF     6,0       7,0       7,0       44,410    
1,84      3,18      0,070     0,256     1,4       2,04      3,233     1,90      UNDEF     UNDEF     6,0       7,0       7,0       44,580    
1,85      3,48      0,070     0,270     1,4       2,03      3,531     1,84      UNDEF     UNDEF     6,0       7,0       7,0       44,960    
1,86      3,62      0,070     0,278     1,4       2,03      3,673     1,82      UNDEF     UNDEF     6,0       7,0       7,0       45,110    
1,87      3,70      0,070     0,283     1,4       2,01      3,759     1,81      UNDEF     UNDEF     6,0       7,0       7,0       45,190    
1,88      3,83      0,070     0,289     1,4       1,99      3,885     1,79      UNDEF     UNDEF     6,0       7,0       7,0       45,300    
1,89      3,78      0,071     0,286     1,4       1,97      3,841     1,80      UNDEF     UNDEF     6,0       7,0       7,0       45,220    
1,90      3,79      0,071     0,288     1,4       1,95      3,850     1,80      UNDEF     UNDEF     6,0       7,0       7,0       45,190    
1,91      3,80      0,071     0,293     1,4       1,93      3,860     1,80      UNDEF     UNDEF     6,0       7,0       7,0       45,170    
1,92      3,85      0,071     0,297     1,4       1,91      3,906     1,80      UNDEF     UNDEF     6,0       7,0       7,0       45,190    
1,93      3,80      0,071     0,294     1,4       1,89      3,854     1,81      UNDEF     UNDEF     6,0       7,0       7,0       45,100    
1,94      3,79      0,071     0,293     1,4       1,87      3,850     1,81      UNDEF     UNDEF     6,0       7,0       7,0       45,060    
1,95      3,79      0,071     0,293     1,4       1,86      3,848     1,82      UNDEF     UNDEF     6,0       7,0       7,0       45,020    
1,96      3,79      0,072     0,292     1,4       1,87      3,847     1,82      UNDEF     UNDEF     6,0       7,0       7,0       44,990    
1,97      3,79      0,073     0,292     1,4       1,90      3,851     1,83      UNDEF     UNDEF     6,0       7,0       7,0       44,960    
1,98      3,80      0,075     0,293     1,4       1,98      3,856     1,84      UNDEF     UNDEF     6,0       7,0       7,0       44,940    
1,99      3,83      0,079     0,302     1,4       2,11      3,895     1,85      UNDEF     UNDEF     6,0       7,0       7,0       44,950    
2,00      3,95      0,079     0,304     1,4       2,14      4,012     1,84      UNDEF     UNDEF     6,0       7,0       7,0       45,060    
